DBpedia16_URI	label
http://dbpedia.org/resource/California	California
http://dbpedia.org/resource/Fontana,_California	Fontana, California
http://dbpedia.org/resource/Scottsdale	Scottsdale
http://dbpedia.org/resource/Miami	Miami
http://dbpedia.org/resource/Minneapolis	Minneapolis
http://dbpedia.org/resource/Dallas	Dallas
http://dbpedia.org/resource/Kentucky	Kentucky
http://dbpedia.org/resource/Oakland,_California	Oakland, California
http://dbpedia.org/resource/Nebraska	Nebraska
http://dbpedia.org/resource/Stockton	Stockton
http://dbpedia.org/resource/Chicago	Chicago
http://dbpedia.org/resource/Worcester	Worcester
http://dbpedia.org/resource/Louisiana	Louisiana
http://dbpedia.org/resource/Shreveport,_Louisiana	Shreveport, Louisiana
http://dbpedia.org/resource/Anaheim,_California	Anaheim, California
http://dbpedia.org/resource/Omaha,_Nebraska	Omaha, Nebraska
http://dbpedia.org/resource/Tucson,_Arizona	Tucson, Arizona
http://dbpedia.org/resource/Tulsa,_Oklahoma	Tulsa, Oklahoma
http://dbpedia.org/resource/Amarillo,_Texas	Amarillo, Texas
http://dbpedia.org/resource/Oregon	Oregon
http://dbpedia.org/resource/Hawaii	Hawaii
http://dbpedia.org/resource/Oklahoma	Oklahoma
http://dbpedia.org/resource/Madison	Madison
http://dbpedia.org/resource/Austin	Austin
http://dbpedia.org/resource/Detroit	Detroit
http://dbpedia.org/resource/Pennsylvania	Pennsylvania
http://dbpedia.org/resource/Philadelphia	Philadelphia
http://dbpedia.org/resource/Tacoma,_Washington	Tacoma, Washington
http://dbpedia.org/resource/Fresno,_California	Fresno, California
http://dbpedia.org/resource/Irving	Irving
http://dbpedia.org/resource/Lubbock,_Texas	Lubbock, Texas
http://dbpedia.org/resource/Seattle	Seattle
http://dbpedia.org/resource/Massachusetts	Massachusetts
http://dbpedia.org/resource/Louisville,_Kentucky	Louisville, Kentucky
http://dbpedia.org/resource/Plano,_Texas	Plano, Texas
http://dbpedia.org/resource/Alaska	Alaska
http://dbpedia.org/resource/Houston	Houston
http://dbpedia.org/resource/Denver	Denver
http://dbpedia.org/resource/Laredo,_Texas	Laredo, Texas
http://dbpedia.org/resource/Milwaukee	Milwaukee
http://dbpedia.org/resource/Orlando,_Florida	Orlando, Florida
http://dbpedia.org/resource/Nashville,_Tennessee	Nashville, Tennessee
http://dbpedia.org/resource/Arizona	Arizona
http://dbpedia.org/resource/Colorado	Colorado
http://dbpedia.org/resource/Nevada	Nevada
http://dbpedia.org/resource/Oxnard,_California	Oxnard, California
http://dbpedia.org/resource/Portland	Portland
http://dbpedia.org/resource/Boston	Boston
http://dbpedia.org/resource/Fremont	Fremont
http://dbpedia.org/resource/Minnesota	Minnesota
http://dbpedia.org/resource/Wichita,_Kansas	Wichita, Kansas
http://dbpedia.org/resource/Memphis,_Tennessee	Memphis, Tennessee
http://dbpedia.org/resource/Irvine	Irvine
http://dbpedia.org/resource/Huntsville,_Alabama	Huntsville, Alabama
http://dbpedia.org/resource/Florida	Florida
http://dbpedia.org/resource/Indiana	Indiana
http://dbpedia.org/resource/Baltimore	Baltimore
http://dbpedia.org/resource/Alabama	Alabama
http://dbpedia.org/resource/Mesa	Mesa
http://dbpedia.org/resource/Cleveland	Cleveland
http://dbpedia.org/resource/Atlanta	Atlanta
http://dbpedia.org/resource/Anchorage,_Alaska	Anchorage, Alaska
http://dbpedia.org/resource/Maryland	Maryland
http://dbpedia.org/resource/Hialeah,_Florida	Hialeah, Florida
http://dbpedia.org/resource/Bakersfield,_California	Bakersfield, California
http://dbpedia.org/resource/Indianapolis	Indianapolis
http://dbpedia.org/resource/Glendale	Glendale
http://dbpedia.org/resource/Spokane,_Washington	Spokane, Washington
http://dbpedia.org/resource/Henderson	Henderson
http://dbpedia.org/resource/Akron,_Ohio	Akron, Ohio
http://dbpedia.org/resource/Chandler	Chandler
http://dbpedia.org/resource/Ohio	Ohio
http://dbpedia.org/resource/Tennessee	Tennessee
http://dbpedia.org/resource/Phoenix	Phoenix
http://dbpedia.org/resource/Georgia	Georgia
http://dbpedia.org/resource/Wisconsin	Wisconsin
http://dbpedia.org/resource/Michigan	Michigan
http://dbpedia.org/resource/Reno,_Nevada	Reno, Nevada
http://dbpedia.org/resource/Sacramento,_California	Sacramento, California
http://dbpedia.org/resource/Washington	Washington
http://dbpedia.org/resource/Honolulu	Honolulu
http://dbpedia.org/resource/Cincinnati	Cincinnati
http://dbpedia.org/resource/Jacksonville,_Florida	Jacksonville, Florida
http://dbpedia.org/resource/Kansas	Kansas
http://dbpedia.org/resource/Arlington	Arlington
http://dbpedia.org/resource/Lexington	Lexington
http://dbpedia.org/resource/Illinois	Illinois
http://dbpedia.org/resource/Garland	Garland
http://dbpedia.org/resource/Toledo	Toledo
http://dbpedia.org/resource/Pittsburgh	Pittsburgh
http://dbpedia.org/resource/Texas	Texas
http://dbpedia.org/resource/Tampa,_Florida	Tampa, Florida
http://dbpedia.org/resource/Modesto,_California	Modesto, California
http://dbpedia.org/resource/Ttallahassee	Ttallahassee
